id,value
id_0,25
id_1,63
id_2,18
id_3,29
id_4,9
id_5,33
id_6,41
id_7,18
id_8,52
id_9,32
id_10,38
id_11,58
id_12,35
id_13,41
id_14,27
id_15,12
id_16,51
id_17,23
id_18,18
id_19,18
id_20,16
id_21,31
id_22,39
id_23,11
id_24,61
id_25,46
id_26,29
id_27,7
id_28,30
id_29,36
id_30,18
id_31,11
id_32,16
id_33,8
id_34,15
id_35,43
id_36,22
id_37,27
id_38,2
id_39,59
id_40,47
id_41,20
id_42,53
id_43,18
id_44,44
id_45,49
id_46,58
id_47,41
id_48,55
id_49,40
id_50,30
id_51,24
id_52,39
id_53,24
id_54,37
id_55,38
id_56,25
id_57,22
id_58,35
id_59,32
id_60,13
id_61,22
id_62,32
id_63,54
id_64,51
id_65,26
id_66,38
id_67,53
id_68,29
id_69,40
id_70,65
id_71,55
id_72,42
id_73,14
id_74,14
id_75,36
id_76,63
id_77,2
id_78,41
id_79,42
id_80,8
id_81,22
id_82,5
id_83,31
id_84,9
id_85,5
id_86,17
id_87,11
id_88,19
id_89,24
id_90,35
id_91,11
id_92,12
id_93,9
id_94,37
id_95,15
id_96,16
id_97,9
id_98,11
id_99,4
id_100,10
id_101,18
id_102,12
id_103,8
id_104,12
id_105,36
id_106,26
id_107,7
id_108,16
id_109,15
id_110,12
id_111,16
id_112,16
id_113,26
id_114,19
id_115,16
id_116,6
id_117,45
id_118,27
id_119,0
id_120,0
id_121,9
id_122,13
id_123,12
id_124,7
id_125,25
id_126,21
id_127,9
id_128,20
id_129,14
id_130,0
id_131,33
id_132,14
id_133,21
id_134,26
id_135,24
id_136,10
id_137,21
id_138,78
id_139,60
id_140,27
id_141,18
id_142,24
id_143,7
id_144,12
id_145,10
id_146,19
id_147,7
id_148,12
id_149,16
id_150,46
id_151,22
id_152,22
id_153,14
id_154,13
id_155,24
id_156,25
id_157,36
id_158,4
id_159,23
id_160,43
id_161,19
id_162,63
id_163,17
id_164,34
id_165,23
id_166,25
id_167,0
id_168,68
id_169,15
id_170,16
id_171,70
id_172,20
id_173,1
id_174,24
id_175,0
id_176,8
id_177,18
id_178,20
id_179,25
id_180,43
id_181,32
id_182,28
id_183,12
id_184,6
id_185,42
id_186,36
id_187,34
id_188,17
id_189,23
id_190,14
id_191,16
id_192,31
id_193,71
id_194,30
id_195,10
id_196,64
id_197,16
id_198,20
id_199,21
id_200,124
id_201,23
id_202,58
id_203,6
id_204,60
id_205,37
id_206,15
id_207,14
id_208,62
id_209,14
id_210,36
id_211,68
id_212,19
id_213,114
id_214,41
id_215,78
id_216,93
id_217,72
id_218,30
id_219,19
id_220,30
id_221,58
id_222,27
id_223,38
id_224,43
id_225,10
id_226,3
id_227,80
id_228,30
id_229,1
id_230,40
id_231,16
id_232,21
id_233,8
id_234,14
id_235,25
id_236,13
id_237,2
id_238,22
id_239,11
