id,value
id_0,25
id_1,59
id_2,18
id_3,26
id_4,9
id_5,36
id_6,36
id_7,15
id_8,45
id_9,33
id_10,37
id_11,58
id_12,32
id_13,43
id_14,22
id_15,10
id_16,51
id_17,21
id_18,19
id_19,20
id_20,15
id_21,29
id_22,35
id_23,5
id_24,55
id_25,45
id_26,27
id_27,7
id_28,29
id_29,36
id_30,19
id_31,11
id_32,16
id_33,5
id_34,17
id_35,37
id_36,16
id_37,26
id_38,6
id_39,60
id_40,48
id_41,12
id_42,48
id_43,17
id_44,45
id_45,48
id_46,59
id_47,38
id_48,51
id_49,43
id_50,27
id_51,24
id_52,38
id_53,24
id_54,37
id_55,39
id_56,24
id_57,20
id_58,36
id_59,28
id_60,15
id_61,19
id_62,30
id_63,55
id_64,48
id_65,25
id_66,41
id_67,52
id_68,26
id_69,36
id_70,61
id_71,50
id_72,41
id_73,11
id_74,12
id_75,34
id_76,59
id_77,2
id_78,40
id_79,40
id_80,7
id_81,22
id_82,6
id_83,32
id_84,10
id_85,5
id_86,15
id_87,10
id_88,12
id_89,27
id_90,31
id_91,10
id_92,13
id_93,6
id_94,36
id_95,15
id_96,15
id_97,9
id_98,10
id_99,2
id_100,12
id_101,18
id_102,11
id_103,6
id_104,12
id_105,38
id_106,27
id_107,6
id_108,15
id_109,16
id_110,14
id_111,17
id_112,13
id_113,28
id_114,21
id_115,15
id_116,6
id_117,46
id_118,26
id_119,0
id_120,1
id_121,10
id_122,16
id_123,15
id_124,7
id_125,26
id_126,19
id_127,13
id_128,19
id_129,18
id_130,3
id_131,36
id_132,12
id_133,19
id_134,22
id_135,20
id_136,9
id_137,17
id_138,78
id_139,61
id_140,26
id_141,17
id_142,25
id_143,8
id_144,9
id_145,9
id_146,19
id_147,7
id_148,13
id_149,17
id_150,53
id_151,21
id_152,24
id_153,16
id_154,12
id_155,26
id_156,23
id_157,34
id_158,3
id_159,21
id_160,43
id_161,18
id_162,55
id_163,19
id_164,35
id_165,23
id_166,20
id_167,1
id_168,64
id_169,16
id_170,16
id_171,67
id_172,22
id_173,1
id_174,18
id_175,2
id_176,5
id_177,15
id_178,19
id_179,20
id_180,42
id_181,26
id_182,25
id_183,11
id_184,9
id_185,40
id_186,36
id_187,34
id_188,16
id_189,22
id_190,14
id_191,14
id_192,33
id_193,74
id_194,27
id_195,11
id_196,60
id_197,14
id_198,19
id_199,22
id_200,129
id_201,24
id_202,59
id_203,3
id_204,60
id_205,37
id_206,17
id_207,11
id_208,66
id_209,10
id_210,27
id_211,67
id_212,19
id_213,109
id_214,41
id_215,77
id_216,96
id_217,68
id_218,28
id_219,12
id_220,29
id_221,51
id_222,27
id_223,40
id_224,40
id_225,8
id_226,2
id_227,70
id_228,28
id_229,1
id_230,38
id_231,15
id_232,21
id_233,8
id_234,9
id_235,22
id_236,12
id_237,0
id_238,19
id_239,0
